Longueur d'onde (nm),Tension blanc (Volt)
557.4937000000002,-0.0002445
558.8398000000003,-0.0001666
560.1859000000003,-0.0001666
561.5320000000003,-0.0002445
562.8781000000004,-8.86e-05
564.2242000000003,-0.0002445
565.5703000000003,-0.0002445
566.9164000000003,-0.0002445
568.2625000000003,-0.0001666
569.6086000000003,-8.86e-05
570.9547000000003,-0.0002445
572.3008000000003,-0.0001666
573.6469000000003,-0.0001666
574.9930000000004,-0.0002445
576.3391000000004,-0.0001666
577.6852000000003,-0.0002445
579.0313000000003,-0.0002445
580.3774000000003,-0.0001666
581.7235000000004,-0.0002445
583.0696000000004,-0.0002445
584.4157000000004,-0.0002445
585.7618000000004,-0.0002445
587.1079000000004,-0.0002445
588.4540000000004,-0.0003225
589.8001000000004,-0.0003225
591.1462000000004,-0.0002445
592.4923000000003,-0.0002445
593.8384000000004,-0.0003225
595.1845000000004,-0.0002445
596.5306000000004,-0.0001666
597.8767000000005,-0.0002445
599.2228000000005,-0.0002445
600.5689000000004,-0.0002445
601.9150000000004,-0.0002445
603.2611000000004,-0.0001666
604.6072000000005,-0.0002445
605.9533000000005,-0.0002445
607.2994000000004,-0.0002445
608.6455000000005,-0.0001666
609.9916000000005,-0.0001666
611.3377000000005,-0.0001666
612.6838000000005,-0.0001666
614.0299000000005,-0.0001666
615.3760000000005,-0.0001666
616.7221000000005,-0.0001666
618.0682000000005,-0.0002445
619.4143000000005,-0.0003225
620.7604000000006,-0.0003225
622.1065000000006,-0.0002445
623.4526000000005,-0.0002445
624.7987000000005,-0.0002445
626.1448000000005,-0.0002445
627.4909000000006,-0.0003225
628.8370000000006,-0.0003225
630.1831000000005,-0.0003225
631.5292000000006,-0.0004004
632.8753000000006,-0.0004004
634.2214000000006,-0.0004004
635.5675000000006,-0.0004783
636.9136000000005,-0.0004783
638.2597000000006,-0.0004783
639.6058000000006,-0.0004783
640.9519000000006,-0.0004783
642.2980000000007,-0.0004004
643.6441000000007,-0.0004004
644.9902000000006,-0.0004783
646.3363000000006,-0.0004783
647.6824000000006,-0.0004783
649.0285000000006,-0.0004783
650.3746000000007,-0.0004783
651.7207000000006,-0.0004004
653.0668000000006,-0.0004004
654.4129000000007,-0.0004004
655.7590000000007,-0.0004004
657.1051000000007,-0.0004783
658.4512000000007,-0.0004004
659.7973000000006,-0.0004783
