,Tension échantillon (Volt),Tension blanc (Volt),Longueur donde,log
,-0.0122471,-0.0159882,185,0.115766308351925
,-0.0131044,-0.0159882,186,0.0863824312433464
,-0.0138059,-0.0157544,187,0.057337144546832
,-0.0141956,-0.0152867,188,0.0321599892651364
,-0.0144294,-0.014897,189,0.0138505450307859
,-0.0150529,-0.0150529,190,0
,-0.0159882,-0.0154426,191,-0.0150791499763217
,-0.0170794,-0.0159103,192,-0.0307942411840612
,-0.0183263,-0.0167676,193,-0.0386038865498003
,-0.020041,-0.0179366,194,-0.0481792648896187
,-0.0219895,-0.0192616,195,-0.0575229946791909
,-0.0240939,-0.0209763,196,-0.0601782178943988
,-0.0263541,-0.0225351,197,-0.0679886999217616
,-0.0286143,-0.0242497,198,-0.0718767559114644
,-0.0305628,-0.0256526,199,-0.0760617501904969
,-0.0322774,-0.0268217,200,-0.0804122436621294
,-0.0335245,-0.027757,201,-0.0819897838969741
,-0.0343818,-0.0283026,202,-0.084502276148869
,-0.0349274,-0.0286922,203,-0.0854024084665507
,-0.0351612,-0.0288481,204,-0.0859464736524933
,-0.0352391,-0.0287701,205,-0.0880834366550032
,-0.0354729,-0.0288481,206,-0.0897794797707171
,-0.0352391,-0.0285364,207,-0.0916256241230031
,-0.0344597,-0.0278349,208,-0.0927218268440671
,-0.0337583,-0.0272893,209,-0.0923881726182623
,-0.0332906,-0.0268996,210,-0.092575800518641
,-0.0332127,-0.0267438,211,-0.0940810668752771
,-0.0330568,-0.0265879,212,-0.0945767735512684
,-0.0329009,-0.0263541,213,-0.096359588659328
,-0.0326671,-0.0262761,214,-0.0945496759732037
,-0.0324333,-0.0260423,215,-0.0953118016568043
,-0.0322774,-0.0258864,216,-0.095826886628853
,-0.0320436,-0.0256526,217,-0.0966099125341963
,-0.0318877,-0.0255747,218,-0.0958126475351915
,-0.0317318,-0.0253409,219,-0.0976726732431534
,-0.031498,-0.025263,220,-0.095798056587607
,-0.0312642,-0.0250291,221,-0.0966020868046712
,-0.0311863,-0.0248733,222,-0.0982304443406056
,-0.0310304,-0.0247953,223,-0.0974180067130386
,-0.0307966,-0.0246394,224,-0.096872644244487
,-0.0307186,-0.0244836,225,-0.0985261432287699
,-0.0305628,-0.0244056,226,-0.0977036504142418
,-0.0303289,-0.0241718,227,-0.0985476669602724
,-0.030251,-0.0240159,228,-0.100240869052908
,-0.0300952,-0.0239379,229,-0.0994111854160351
,-0.0300172,-0.0239379,230,-0.0982841304789481
,-0.0295495,-0.0235482,231,-0.0985924209731347
,-0.0279908,-0.0223013,232,-0.0986851312099354
,-0.0268996,-0.021288,233,-0.101610960500549
,-0.0266658,-0.0212101,234,-0.0994119013674865
,-0.0266658,-0.0212101,235,-0.0994119013674865
,-0.0265879,-0.0210542,236,-0.101345292567253
,-0.0263541,-0.0209763,237,-0.0991193039172014
,-0.0262761,-0.0208983,238,-0.0994499467248503
,-0.0262761,-0.0208204,239,-0.10107183712222
,-0.0261202,-0.0207425,240,-0.100115399205813
,-0.0259644,-0.0207425,241,-0.0975171923618131
,-0.0258085,-0.0205866,242,-0.0981781377024394
,-0.0257306,-0.0205086,243,-0.0985138987592198
,-0.0256526,-0.0204307,244,-0.0988481425133435
,-0.0254967,-0.0203528,245,-0.097859809024902
,-0.0254188,-0.0201969,246,-0.0998703288488307
,-0.025263,-0.020119,247,-0.0988785314391221
,-0.025107,-0.020041,248,-0.0978754345423612
,-0.0250291,-0.0199631,249,-0.098217251205366
,-0.0249512,-0.0198072,250,-0.100268350547112
,-0.0248733,-0.0198072,251,-0.0989103211556554
,-0.0247173,-0.0197293,252,-0.0978893520895012
,-0.0247173,-0.0195734,253,-0.101334757358704
,-0.0244836,-0.0195734,254,-0.0972090042229959
,-0.0244836,-0.0194175,255,-0.100681961786895
,-0.0245615,-0.0195734,256,-0.0985886147688172
,-0.0246394,-0.0194954,257,-0.101697977688795
,-0.0244056,-0.0193396,258,-0.101042001697484
,-0.0240939,-0.0191057,259,-0.100744149382441
,-0.0240939,-0.0191057,260,-0.100744149382441
