Longueur d'onde (nm),Absorbance
533.2639000000001,0.04112847366580041
534.6100000000001,0.03926892104061386
535.9561000000002,0.11325102873936567
537.3022000000002,0.1295695852076343
538.6483000000002,0.1604366902715679
539.9944000000002,0.18257475260954767
541.3405000000002,0.2593250602993577
542.6866000000002,0.2593250602993577
544.0327000000002,0.31249690162081206
545.3788000000002,0.3402655707043917
546.7249000000002,0.3828374036808522
548.0710000000003,0.46163746741888756
549.4171000000002,0.4272710608223791
550.7632000000002,0.5111900303948778
552.1093000000003,0.6593473162117524
553.4554000000003,0.6593473162117524
554.8015000000003,0.7162644939619943
556.1476000000002,0.7390334947952587
557.4937000000002,0.8046421738641225
558.8398000000003,0.8818484859288057
560.1859000000003,0.892814325867335
561.5320000000003,1.107029531214977
562.8781000000004,1.107029531214977
564.2242000000003,0.9974608908082969
565.5703000000003,1.1177117463199444
566.9164000000003,1.1281507332982321
568.2625000000003,1.1177117463199444
569.6086000000003,1.107029531214977
570.9547000000003,1.2947545996871022
572.3008000000003,1.3049356295824501
573.6469000000003,1.3148834455007614
574.9930000000004,1.1580169716618034
576.3391000000004,1.3341326086678253
577.6852000000003,1.3341326086678253
579.0313000000003,1.3341326086678253
580.3774000000003,1.3434523339846933
581.7235000000004,1.6268059571772615
583.0696000000004,1.6268059571772615
584.4157000000004,1.3614897577209573
585.7618000000004,1.3614897577209573
587.1079000000004,1.3614897577209573
588.4540000000004,1.6530599883053805
589.8001000000004,1.6530599883053805
591.1462000000004,1.3788187131216625
592.4923000000003,1.6697134572758354
593.8384000000004,1.3525646819935433
595.1845000000004,1.3341326086678253
596.5306000000004,1.3341326086678253
597.8767000000005,1.167528742278955
599.2228000000005,1.3434523339846933
600.5689000000004,1.6268059571772615
601.9150000000004,1.3434523339846933
603.2611000000004,1.3614897577209573
604.6072000000005,1.194885891332087
605.9533000000005,1.2036423514269994
607.2994000000004,1.2036423514269994
608.6455000000005,0.9894271460793574
609.9916000000005,0.7982674725013613
611.3377000000005,0.6330091276870567
612.6838000000005,0.4501671736937236
614.0299000000005,0.35283228140057027
615.3760000000005,0.21545972392042068
616.7221000000005,0.11615115545634457
618.0682000000005,0.03332948365434644
619.4143000000005,-0.03524963037980203
620.7604000000006,-0.0790097960266684
622.1065000000006,-0.13393367686281307
623.4526000000005,-0.1677723467452276
624.7987000000005,-0.18866787401493848
626.1448000000005,-0.19726066563242042
627.4909000000006,-0.21313389936937313
628.8370000000006,-0.2342540096557951
630.1831000000005,-0.2418647407185574
631.5292000000006,-0.25149661487848174
632.8753000000006,-0.25863676929905294
634.2214000000006,-0.26821605444441177
635.5675000000006,-0.2656522152985577
636.9136000000005,-0.27301222517274154
638.2597000000006,-0.2752085625503112
639.6058000000006,-0.27546181128881253
640.9519000000006,-0.2817344766494837
642.2980000000007,-0.27914412928877536
643.6441000000007,-0.28053878800877985
644.9902000000006,-0.2826411310045728
646.3363000000006,-0.2847735929492672
647.6824000000006,-0.2822531548952643
649.0285000000006,-0.27750961297069876
650.3746000000007,-0.28424542985981166
651.7207000000006,-0.28406461612981065
653.0668000000006,-0.28631737439923927
654.4129000000007,-0.2767304741013325
655.7590000000007,-0.2836847225075522
657.1051000000007,-0.2834852315770948
658.4512000000007,-0.28818799763203967
659.7973000000006,-0.280737296535283
661.1434000000006,-0.2856408660769045
662.4895000000007,-0.2805046575186186
663.8356000000007,-0.28286843350716023
665.1817000000008,-0.2789667106265432
666.5278000000008,-0.2919857956144647
667.8739000000007,-0.2834012968170087
