Longueur d'onde (nm),Tension blanc (Volt)
544.0327000000002,-0.0155206
545.3788000000002,-0.0165338
546.7249000000002,-0.0176249
548.0710000000003,-0.0186381
549.4171000000002,-0.0194954
550.7632000000002,-0.0204307
552.1093000000003,-0.0212101
553.4554000000003,-0.0219116
554.8015000000003,-0.0225351
556.1476000000002,-0.0230806
557.4937000000002,-0.0232365
558.8398000000003,-0.0236262
560.1859000000003,-0.0240159
561.5320000000003,-0.0244056
562.8781000000004,-0.0248733
564.2242000000003,-0.025107
565.5703000000003,-0.0254188
566.9164000000003,-0.0258085
568.2625000000003,-0.0260423
569.6086000000003,-0.0263541
570.9547000000003,-0.0265879
572.3008000000003,-0.0268996
573.6469000000003,-0.0271335
574.9930000000004,-0.0272893
576.3391000000004,-0.0275232
577.6852000000003,-0.027679
579.0313000000003,-0.0274452
580.3774000000003,-0.027679
581.7235000000004,-0.0282246
583.0696000000004,-0.0286922
584.4157000000004,-0.0292378
585.7618000000004,-0.0297055
587.1079000000004,-0.0300952
588.4540000000004,-0.0304849
589.8001000000004,-0.0309525
591.1462000000004,-0.031498
592.4923000000003,-0.0317318
593.8384000000004,-0.0321995
595.1845000000004,-0.0324333
596.5306000000004,-0.032823
597.8767000000005,-0.0332127
599.2228000000005,-0.0336024
600.5689000000004,-0.0338362
601.9150000000004,-0.034148
603.2611000000004,-0.0325112
604.6072000000005,-0.0307186
605.9533000000005,-0.0301731
607.2994000000004,-0.0303289
608.6455000000005,-0.0305628
609.9916000000005,-0.0307966
611.3377000000005,-0.0311083
612.6838000000005,-0.0312642
614.0299000000005,-0.031576
615.3760000000005,-0.0318877
616.7221000000005,-0.0321215
618.0682000000005,-0.0322774
619.4143000000005,-0.0325112
620.7604000000006,-0.0325892
622.1065000000006,-0.0327451
623.4526000000005,-0.032823
624.7987000000005,-0.0330568
626.1448000000005,-0.0329789
627.4909000000006,-0.0336024
628.8370000000006,-0.0377331
630.1831000000005,-0.0389802
631.5292000000006,-0.0385125
632.8753000000006,-0.0370317
634.2214000000006,-0.0359406
635.5675000000006,-0.0368758
636.9136000000005,-0.0388243
638.2597000000006,-0.0419419
639.6058000000006,-0.0463844
640.9519000000006,-0.0518401
642.2980000000007,-0.0572958
643.6441000000007,-0.0619721
644.9902000000006,-0.0654015
646.3363000000006,-0.0674279
647.6824000000006,-0.0682073
649.0285000000006,-0.0681294
650.3746000000007,-0.0685191
651.7207000000006,-0.0668043
653.0668000000006,-0.0649338
654.4129000000007,-0.0636089
655.7590000000007,-0.0629854
657.1051000000007,-0.062206
658.4512000000007,-0.0615045
659.7973000000006,-0.060959
661.1434000000006,-0.0602575
662.4895000000007,-0.0595561
663.8356000000007,-0.0590105
665.1817000000008,-0.0584649
666.5278000000008,-0.0579193
667.8739000000007,-0.0573738
