Longueur d'onde (nm),Tension échantillon (Volt)
544.0327000000002,-0.0074149
545.3788000000002,-0.0074928
546.7249000000002,-0.0074928
548.0710000000003,-0.0074928
549.4171000000002,-0.007337
550.7632000000002,-0.0071811
552.1093000000003,-0.0069473
553.4554000000003,-0.0066355
554.8015000000003,-0.0063238
556.1476000000002,-0.0058562
557.4937000000002,-0.0054665
558.8398000000003,-0.0049988
560.1859000000003,-0.0046091
561.5320000000003,-0.0041414
562.8781000000004,-0.0037518
564.2242000000003,-0.0033621
565.5703000000003,-0.0030503
566.9164000000003,-0.0026606
568.2625000000003,-0.0023489
569.6086000000003,-0.0020371
570.9547000000003,-0.0017254
572.3008000000003,-0.0014915
573.6469000000003,-0.0013357
574.9930000000004,-0.0011019
576.3391000000004,-0.000868
577.6852000000003,-0.0007122
579.0313000000003,-0.0005563
580.3774000000003,-0.0006342
581.7235000000004,-0.0004783
583.0696000000004,-0.0003225
584.4157000000004,-0.0003225
585.7618000000004,-0.0001666
587.1079000000004,-0.0001666
588.4540000000004,-8.86e-05
589.8001000000004,-8.86e-05
591.1462000000004,-1.07e-05
592.4923000000003,-1.07e-05
593.8384000000004,-1.07e-05
595.1845000000004,6.72e-05
596.5306000000004,-1.07e-05
597.8767000000005,6.72e-05
599.2228000000005,6.72e-05
600.5689000000004,6.72e-05
601.9150000000004,6.72e-05
603.2611000000004,0.0001452
604.6072000000005,6.72e-05
605.9533000000005,6.72e-05
607.2994000000004,6.72e-05
608.6455000000005,-1.07e-05
609.9916000000005,-1.07e-05
611.3377000000005,-1.07e-05
612.6838000000005,-1.07e-05
614.0299000000005,-0.0002445
615.3760000000005,-0.0004004
616.7221000000005,-0.000868
618.0682000000005,-0.0016474
619.4143000000005,-0.0028165
620.7604000000006,-0.0044532
622.1065000000006,-0.0065576
623.4526000000005,-0.0090516
624.7987000000005,-0.0117015
626.1448000000005,-0.0143515
627.4909000000006,-0.0172352
628.8370000000006,-0.0220674
630.1831000000005,-0.0254188
631.5292000000006,-0.0272893
632.8753000000006,-0.0281467
634.2214000000006,-0.0287701
635.5675000000006,-0.0306407
636.9136000000005,-0.0334465
638.2597000000006,-0.0371096
639.6058000000006,-0.0418639
640.9519000000006,-0.0475535
642.2980000000007,-0.0533989
643.6441000000007,-0.058387
644.9902000000006,-0.062206
646.3363000000006,-0.0647
647.6824000000006,-0.0658691
649.0285000000006,-0.0661809
650.3746000000007,-0.0667264
651.7207000000006,-0.0653235
653.0668000000006,-0.0636868
654.4129000000007,-0.0624398
655.7590000000007,-0.0618942
657.1051000000007,-0.0613487
658.4512000000007,-0.0607252
659.7973000000006,-0.0601016
661.1434000000006,-0.0594781
662.4895000000007,-0.0590105
663.8356000000007,-0.058387
665.1817000000008,-0.0579193
666.5278000000008,-0.0574517
667.8739000000007,-0.0569061
