Longueur d'onde (nm),Absorbace,Absorbance pics,Longueur d'onde pics (nm)
676.5591,0.0,,
679.2808,0.0,,
682.0024999999999,0.0,,
684.7242,0.0,,
687.4458999999999,0.0,,
690.1676,0.0,,
692.8892999999999,0.0,,
695.611,0.0,,
698.3326999999999,0.0,,
701.0544,0.0,,
703.7760999999999,0.0,,
706.4978,0.0,,
709.2194999999999,0.0,,
711.9412,0.0,,
714.6629,0.0,,
717.3846,0.0,,
720.1062999999999,0.0,,
722.828,0.0,,
725.5497,0.0,,
728.2714,0.0,,
730.9930999999999,0.0,,
733.7148,0.0,,
736.4365,0.0,,
739.1582,0.0,,
741.8799,0.0,,
744.6016,0.0,,
747.3233,0.0,,
750.045,0.0,,
752.7667,0.0,,
755.4884,0.0,,
758.2101,0.0,,
760.9318,0.0,,
763.6535,0.0,,
766.3752,0.0,,
769.0969,0.0,,
771.8186,0.0,,
774.5403,0.0,,
777.262,0.0,,
779.9837,0.0,,
782.7053999999999,0.0,,
785.4271,0.0,,
788.1487999999999,-0.0008218576372144024,,
790.8705,0.0002054644093036005,,
793.5921999999999,0.0010044926677064913,,
796.3139,0.0015752271379942707,,
799.0355999999999,0.0019176678201669381,,
801.7573,0.002031814714224494,,
804.479,0.0019176678201669381,,
807.2007,0.0015752271379942707,,
809.9223999999999,0.0010044926677064913,,
812.6441,0.0002054644093036005,,
815.3658,-0.0008218576372144024,,
818.0875,0.0,,
820.8092,0.0,,
823.5309,0.0,,
826.2526,0.0,,
828.9743,0.0,,
831.696,0.0,,
834.4177,0.0,,
837.1394,0.0,,
839.8611,0.0,,
842.5828,0.0,,
845.3045,-0.000912008341778241,,
848.0262,0.00020431410071729234,,
850.7479,0.0011205988583552222,,
853.4696,0.001776967969741622,,
856.1913,0.0021734214348764916,,
858.913,0.0023099592537598307,,
861.6347,0.0021865814263916403,,
864.3564,0.0018032879527719197,,
867.0781,0.0011600788329006685,,
869.7998,0.0002569540667778874,,
872.5215,-7.027644766873474e-05,,
875.2432,-0.0002461635713947429,,
877.9649,-0.0002707073044001347,,
880.6866,-0.0001439076466849109,,
883.4082999999999,0.00013423540175092757,,
