Longueur d'onde (nm),Tension échantillon (Volt),pas
527.3716951916502,-8.86e-05,4.095000000000007
528.4603421591003,-1.07e-05,4.130000000000007
529.5489891265502,-1.07e-05,4.165000000000007
530.6376360940002,-8.86e-05,4.200000000000007
531.7262830614502,-8.86e-05,4.235000000000007
532.8149300289002,6.72e-05,4.270000000000008
533.9035769963502,-0.0001666,4.305000000000008
534.9922239638003,-8.86e-05,4.340000000000008
536.0808709312503,-0.0001666,4.375000000000008
537.1695178987003,-8.86e-05,4.410000000000008
538.2581648661503,-0.0003225,4.445000000000008
539.3468118336002,-0.0003225,4.480000000000008
540.4354588010502,-0.0003225,4.515000000000009
541.5241057685002,-0.0004004,4.550000000000009
542.6127527359503,-0.0004004,4.585000000000009
543.7013997034003,-0.0004004,4.620000000000009
544.7900466708503,-0.0004004,4.655000000000009
