Longueur d'onde (nm),Tension échantillon (Volt)
549.4171000000002,-0.0167676
550.7632000000002,-0.0172352
552.1093000000003,-0.0178587
553.4554000000003,-0.0183263
554.8015000000003,-0.018794
556.1476000000002,-0.0190278
557.4937000000002,-0.0191837
558.8398000000003,-0.0191837
560.1859000000003,-0.0193396
561.5320000000003,-0.0195734
562.8781000000004,-0.0197293
564.2242000000003,-0.0198072
565.5703000000003,-0.0198851
566.9164000000003,-0.0198851
568.2625000000003,-0.0198851
569.6086000000003,-0.0198851
570.9547000000003,-0.0197293
572.3008000000003,-0.0197293
573.6469000000003,-0.0196513
574.9930000000004,-0.0194954
576.3391000000004,-0.0194175
577.6852000000003,-0.0193396
579.0313000000003,-0.0189499
580.3774000000003,-0.0188719
581.7235000000004,-0.0189499
583.0696000000004,-0.0189499
584.4157000000004,-0.018794
585.7618000000004,-0.018794
587.1079000000004,-0.0188719
588.4540000000004,-0.018794
589.8001000000004,-0.0188719
591.1462000000004,-0.0185602
592.4923000000003,-0.0180146
593.8384000000004,-0.0177029
595.1845000000004,-0.0173911
596.5306000000004,-0.0170014
597.8767000000005,-0.0165338
599.2228000000005,-0.016222
600.5689000000004,-0.0158323
601.9150000000004,-0.0157544
603.2611000000004,-0.0147412
604.6072000000005,-0.0138838
605.9533000000005,-0.0135721
607.2994000000004,-0.0141956
608.6455000000005,-0.0148191
609.9916000000005,-0.0154426
611.3377000000005,-0.0170014
612.6838000000005,-0.0181705
614.0299000000005,-0.0195734
615.3760000000005,-0.0211322
616.7221000000005,-0.0227689
618.0682000000005,-0.0242497
619.4143000000005,-0.0256526
620.7604000000006,-0.0268217
622.1065000000006,-0.0279908
623.4526000000005,-0.0289261
624.7987000000005,-0.0297055
626.1448000000005,-0.030251
627.4909000000006,-0.0312642
628.8370000000006,-0.0354729
630.1831000000005,-0.0372655
631.5292000000006,-0.0371096
632.8753000000006,-0.0360965
634.2214000000006,-0.0350053
635.5675000000006,-0.0359406
636.9136000000005,-0.037889
638.2597000000006,-0.0409287
639.6058000000006,-0.0452932
640.9519000000006,-0.0507489
642.2980000000007,-0.0562826
643.6441000000007,-0.0610369
644.9902000000006,-0.0647
646.3363000000006,-0.0669603
647.6824000000006,-0.0679734
649.0285000000006,-0.0681294
650.3746000000007,-0.0683631
651.7207000000006,-0.0668823
653.0668000000006,-0.0650118
654.4129000000007,-0.0636868
655.7590000000007,-0.0630633
657.1051000000007,-0.0623618
658.4512000000007,-0.0616604
659.7973000000006,-0.060959
661.1434000000006,-0.0603355
662.4895000000007,-0.0598678
663.8356000000007,-0.0592443
665.1817000000008,-0.0586208
666.5278000000008,-0.0579973
667.8739000000007,-0.0575296
